image,question,answer
image1154,Where is this part in the figure?,endocrine system
image1154,What does this image show?,adrenal gland
image1155,Where is this part in the figure?,endocrine system
image1156,Where is this part in the figure?,endocrine system
image1157,Where is this part in the figure?,endocrine system
image1157,What does this image show?,adrenal gland
image1158,Where is this part in the figure?,endocrine system
image1158,What does this image show?,iron stain abundant iron
image1159,Where is this part in the figure?,endocrine system
image1159,What does this image show?,papillary lesion unusual
image1160,What does this image show?,primary in stomach
image1160,What is present?,metastatic carcinoma
image1160,Where is this part in the figure?,endocrine system
image1160,What is present ?,metastatic carcinoma
image1161,What is present ?,autoimmune thyroiditis
image1161,What is present?,autoimmune thyroiditis
image1161,What does this image show?,excellent example lymphocytes and hurthle like cells no recognizable thyroid tissue
image1161,Where is this part in the figure?,endocrine system
image1162,What is present ?,papillary adenoma
image1162,Where is this part in the figure?,endocrine system
image1162,What is present?,papillary adenoma
image1163,What are there from this case in this file 23 yowf amyloid limited to brain ?,several slides
image1163,Where is this part in the figure?,endocrine system
image1163,What had incontinence headaches and failure to maintain weight very strange case not amyloid angiopathy r. Endocrine is present ?,hyalin mass in pituitary which there are several slides from this in this file 23 yowf limited brain
image1163,What are there from this case in this file 23 yowf amyloid limited to brain?,several slides
image1163,What is hyalin mass in pituitary which is amyloid there are several slides from this case in this file 23 yowf amyloid limited to brain had?,incontinence headaches and failure maintain weight very strange not angiopathy r. Endocrine present
image1163,What is present ?,amyloid angiopathy r. Endocrine
image1164,Where is this part in the figure?,endocrine system
image1164,What does this image show?,multiple cortical hemorrhages which may be the early stage of a gross adrenal hemorrhage
image1165,What does this image show?,atrophy secondary to corticoid therapy
image1165,Where is this part in the figure?,endocrine system
image1166,What does this image show?,med bizarre hurthle type cells with lymphocytic infiltrate no recognizable thyroid tissue
image1166,What is present?,autoimmune thyroiditis
image1166,Where is this part in the figure?,endocrine system
image1166,What is present ?,autoimmune thyroiditis
image1167,Where is this part in the figure?,endocrine system
image1167,What does this image show?,iron stain
image1168,What well shown ?,localization of cytomegaly
image1168,Where is this part in the figure?,endocrine system
image1168,What does this image show?,localization of cytomegaly well shown
image1169,What is present?,atrophy secondary to pituitectomy
image1169,How does this image show rather good example of atrophy case of type i diabetes?,with pituitectomy for nine years for retinal lesions 
image1169,Where is this part in the figure?,endocrine system
image1169,What does this image show?,rather good example of atrophy case of type i diabetes with pituitectomy for nine years for retinal lesions
image1169,What is present ?,atrophy secondary to pituitectomy
image1170,Where is this part in the figure?,endocrine system
image1170,What does this image show?,easily seen infiltrate
image1171,What is present?,malignant lymphoma
image1171,Where is this part in the figure?,endocrine system
image1171,What is present ?,malignant lymphoma
image1171,What does this image show?,diffuse infiltrate
image1172,Where is this part in the figure?,endocrine system
image1172,What does this image show?,adrenal gland
image1173,What is present ?,crookes cells
image1173,Where is this part in the figure?,endocrine system
image1173,What is present?,crookes cells
image1174,What does this image show?,good photo of tumor cells
image1174,What is present ?,mucoepidermoid carcinoma
image1174,Where is this part in the figure?,endocrine system
image1174,What is present?,mucoepidermoid carcinoma
image1175,Where is this part in the figure?,endocrine system
image1176,What does this image show?,thyroid gland
image1176,Where is this part in the figure?,endocrine system
image1177,What does this image show?,hashimoto 's thyroiditis
image1177,Where is this part in the figure?,endocrine system
image1178,What does this image show?,thyroid gland
image1178,Where is this part in the figure?,endocrine system
image1179,What does this image show?,hashimoto 's thyroiditis
image1179,Where is this part in the figure?,endocrine system
image1180,Where is this part in the figure?,endocrine system
image1180,What does this image show?,hemorrhagic tissue in region of lesion several slides on case
image1180,What is present ?,malignant adenoma
image1180,What is present?,malignant adenoma
image1181,What does this image show?,hashimoto 's thyroiditis
image1181,Where is this part in the figure?,endocrine system
image1182,Where is this part in the figure?,endocrine system
image1183,Where is this part in the figure?,endocrine system
image1184,Where is this part in the figure?,endocrine system
image1185,What does this image show?,hashimoto 's thyroiditis
image1185,Where is this part in the figure?,endocrine system
image1186,What is present ?,eosinophilic adenoma
image1186,What does this image show?,cells of adenoma
image1186,Where is this part in the figure?,endocrine system
image1186,What is present?,eosinophilic adenoma
image1187,What is present ?,malignant adenoma
image1187,Where is this part in the figure?,endocrine system
image1187,What is present?,malignant adenoma
image1187,How does this image show carotid artery near sella?,with tumor cells in soft tissue 
image1187,What does this image show?,carotid artery near sella with tumor cells in soft tissue
image1188,What does this image show?,well shown infarct
image1188,Where is this part in the figure?,endocrine system
image1189,Where is this part in the figure?,endocrine system
image1190,Where is this part in the figure?,endocrine system
image1191,What does this image show?,hashimoto 's thyroiditis
image1191,Where is this part in the figure?,endocrine system
image1192,Where is this part in the figure?,endocrine system
image1193,Where is this part in the figure?,endocrine system
image1194,Where is this part in the figure?,endocrine system
image1195,What does this image show?,immunostain for growth hormone stain is positive
image1195,What is present?,eosinophilic adenoma
image1195,Where is this part in the figure?,endocrine system
image1195,What stain is positive ?,immunostain for growth hormone
image1195,What is present ?,eosinophilic adenoma
image1195,What stain is positive?,immunostain for growth hormone
image1196,Where does this belong to?,female reproductive system
image1196,What is present?,female reproductive
image1196,What is present ?,female reproductive
image1197,What is present ?,female reproductive
image1197,Where does this belong to?,female reproductive system
image1197,What is present?,intrauterine contraceptive device
image1197,What is present?,female reproductive
image1197,How does this image show excellent plastic coil?,with deep red endometrium and degenerating mural myoma 
image1197,What does this image show?,excellent plastic coil with deep red endometrium and degenerating mural myoma
image1197,What is present ?,intrauterine contraceptive device
image1198,What is fixed tissue cut?,surface of typical myoma
image1198,What does this image show?,fixed tissue cut surface of typical myoma
image1198,What cut surface of typical myoma ?,fixed tissue
image1198,What is fixed tissue cut?,surface of typical myoma
image1198,Where does this part belong to?,female reproductive system
image1198,What is present ?,female reproductive
image1198,What cut surface of typical myoma?,fixed tissue
image1198,What is present?,female reproductive
image1199,Where does this part belong to?,female reproductive system
image1199,What does this image show?,dermoid cyst
image1200,Where does this part belong to?,female reproductive system
image1200,What is present ?,female reproductive
image1200,What is this one pedunculated myoma ?,a good example
image1200,What does this image show?,unopened uterus tubes and ovaries
image1200,What is this one pedunculated myoma?,a good example
image1200,What is present?,female reproductive
image1201,What does this image show?,excellent example with opened uterus and cervix and vagina
image1201,How does this image show excellent example?,with opened uterus and cervix and vagina 
image1201,What is present?,female reproductive
image1201,What is present?,endocervical polyp
image1201,Where does this belong to?,female reproductive system
image1201,What is present ?,female reproductive
image1201,What is present ?,endocervical polyp
image1202,What does this image show?,close-up external view of hemorrhagic mass
image1202,What is this luteum from photo?,a corpus
image1202,What is present?,female reproductive
image1202,What is present ?,female reproductive
image1202,Where does this belong to?,female reproductive system
image1202,What is this luteum from photo ?,a corpus
image1202,What is present ?,hemorrhagic corpus luteum
image1202,What is present?,hemorrhagic corpus luteum
image1203,What is present ?,female reproductive
image1203,What does this image show?,fixed tissue saggital section of organ with cross sectioned myoma
image1203,Where does this belong to?,female reproductive system
image1203,What is present?,female reproductive
image1204,What is present?,female reproductive
image1204,What does this image show?,fixed tissue frontal section single fundus duplicated endocervix and exocervix
image1204,What is present?,cervix duplication
image1204,Where does this part belong to?,female reproductive system
image1204,What is present ?,female reproductive
image1204,What is present ?,cervix duplication
image1205,What does this image show?,sutured cesarean section incision
image1205,What is present?,female reproductive
image1205,Where does this part belong to?,female reproductive system
image1205,What is present ?,female reproductive
image1206,What does this image show?,cut surface of uterus several lesions
image1206,What is present?,female reproductive
image1206,What is present ?,female reproductive
image1206,Where does this part belong to?,female reproductive system
image1207,What is present ?,female reproductive
image1207,Where does this part belong to?,female reproductive system
image1207,What is present?,female reproductive
image1207,What does this image show?,large endometrial polyp probably senile type
image1208,What is present ?,metastatic carcinoma
image1208,Where does this belong to?,female reproductive system
image1208,What is present ?,female reproductive
image1208,What is present?,metastatic carcinoma
image1208,What is present?,female reproductive
image1208,What does this image show?,large mass lobular tumor lung primary
image1209,Where does this belong to?,female reproductive system
image1209,What is present?,bicornate uterus
image1209,What shown lesion ?,infant organs
image1209,What does this image show?,infant organs clearly shown lesion
image1209,What is present?,female reproductive
image1209,What is present ?,bicornate uterus
image1209,What is present ?,female reproductive
image1210,What represent ?,external view of uterus with two small subserosal myomas and a bulge
image1210,What are intramural one lesion is in photo ?,small normal ovary
image1210,What is present?,female reproductive
image1210,What are small normal ovary is in photo?,intramural one lesion
image1210,What is in photo ?,normal ovary
image1210,What is normal ovary in ?,in photo
image1210,What is normal ovary in?,in photo
image1210,Where does this part belong to?,female reproductive system
image1210,What is present ?,female reproductive
image1210,What is in photo?,normal ovary
image1210,How does this image show external view of uterus?,with two small subserosal myomas 
image1210,What does this image show?,external view of uterus with two small subserosal myomas
image1210,What represent?,a bulge
image1210,What are small normal ovary is in photo ?,intramural one lesion
image1211,Where does this part belong to?,female reproductive system
image1211,What does this image show?,dermoid cyst
image1212,What is present?,female reproductive
image1212,What is present?,mixed mesodermal tumor
image1212,What is this opened?,uterus shows tumor
image1212,What is present ?,mixed mesodermal tumor
image1212,What is present ?,female reproductive
image1212,What is this opened?,uterus shows tumor
image1212,Where does this part belong to?,female reproductive system
image1213,Where does this part belong to?,female reproductive system
image1213,What does this image show?,dermoid cyst
image1214,What does this image show?,seen from fetal surface term placenta
image1214,What is present?,female reproductive
image1214,Where does this belong to?,female reproductive system
image1214,What is present ?,female reproductive
image1215,Where does this belong to?,female reproductive system
image1215,What is present ?,benign cystic teratoma
image1215,What is present ?,female reproductive
image1215,What is present?,benign cystic teratoma
image1215,What is present?,female reproductive
image1216,What is present?,female reproductive
image1216,What are not truly normal ovaries of vacant sella but externally i can see nothing?,non functional in this case
image1216,What are non functional in this case of vacant sella but externally i can see nothing?,not truly normal ovaries
image1216,What is present ?,female reproductive
image1216,What are truly normal ovaries of vacant sella but externally i can see nothing ?,non functional in this case
image1216,What are non functional in this case of vacant sella but externally i can see nothing ?,truly normal ovaries
image1216,Where does this belong to?,female reproductive system
image1216,What does this image show?,not truly normal ovaries are non functional in case of vacant sella but externally i can see nothing
image1217,What is present?,female reproductive
image1217,Where does this belong to?,female reproductive system
image1217,What does this image show?,multiple typical lesions good depiction
image1217,What is present ?,female reproductive
image1218,What is present ?,mixed mesodermal tumor
image1218,What is present ?,female reproductive
image1218,Where does this part belong to?,female reproductive system
image1218,What is present?,mixed mesodermal tumor
image1218,What does this image show?,opened uterus with cut surface of tumor shown very good
image1218,What is present?,female reproductive
image1219,Where does this part belong to?,female reproductive system
image1219,What does this image show?,ovarian cysts
image1220,What is present?,female reproductive
image1220,What is present?,mixed mesodermal tumor
image1220,What is present ?,mixed mesodermal tumor
image1220,What does this image show?,opened uterus with polypoid lesion
image1220,Where does this part belong to?,female reproductive system
image1220,What is present ?,female reproductive
image1221,What does this image show?,cut surface of ovary close up breast primary
image1221,What is present?,female reproductive
image1221,What is present?,metastatic carcinoma
image1221,Where does this belong to?,female reproductive system
image1221,What is present ?,female reproductive
image1221,What is present ?,metastatic carcinoma
image1222,What does this image show?,excellent example close-up photo of corpus luteum
image1222,What is present?,female reproductive
image1222,Where does this belong to?,female reproductive system
image1222,What is present ?,female reproductive
image1223,What is present ?,metastatic carcinoma
image1223,What is present ?,female reproductive
image1223,What is excellent example of peritoneal carcinomatosis with implants on serosal surfaces of uterus and ovaries said?,to be an adenocarcinoma
image1223,What said to be an adenocarcinoma ?,excellent example of peritoneal carcinomatosis with implants on serosal surfaces of uterus and ovaries
image1223,What is excellent example of peritoneal carcinomatosis with implants on serosal surfaces of uterus and ovaries said?,to be an adenocarcinoma
image1223,What is present?,metastatic carcinoma
image1223,What is present?,female reproductive
image1223,What does this image show?,excellent example of peritoneal carcinomatosis with implants on serosal surfaces of uterus and ovaries said to be an adenocarcinoma
image1223,What said to be an adenocarcinoma?,excellent example of peritoneal carcinomatosis with implants on serosal surfaces of uterus and ovaries
image1223,Where does this belong to?,female reproductive system
image1224,What is present?,cervical carcinoma
image1224,What is present ?,female reproductive
image1224,Where does this belong to?,female reproductive system
image1224,What is present?,female reproductive
image1224,What is present ?,cervical carcinoma
image1224,What labeled as invasive ?,excellent example tumor
image1224,What does this image show?,excellent example tumor labeled as invasive
image1225,What does this image show?,excellent example of submucous myoma
image1225,What is present ?,female reproductive
image1225,What is present?,female reproductive
image1225,Where does this belong to?,female reproductive system
image1226,What is present ?,serous cystadenoma
image1226,What is present ?,female reproductive
image1226,What have same as except ovaries been cut of tumor masses ?,been to show multiloculated nature
image1226,Where does this belong to?,female reproductive system
image1226,What is present?,female reproductive
image1226,What have ovaries been cut of tumor masses?,been to show multiloculated nature
image1226,What have been cut to show multiloculated nature of tumor masses ?,same as except ovaries
image1226,What is present?,serous cystadenoma
image1227,What is not obvious from gross appearance?,cystadenocarcinoma malignancy
image1227,What is cystadenocarcinoma malignancy?,not obvious from gross appearance
image1227,What is external view of bilateral cystic ovarian tumors with uterus slide labeled cystadenocarcinoma malignancy ?,not obvious from gross appearance
image1227,What does this image show?,external view of bilateral cystic ovarian tumors with uterus slide labeled cystadenocarcinoma malignancy is not obvious from gross appearance
image1227,What is present ?,female reproductive
image1227,What is present?,serous cystadenoma
image1227,What is present ?,serous cystadenoma
image1227,What is not obvious from gross appearance ?,external view of bilateral cystic ovarian tumors with uterus slide labeled cystadenocarcinoma malignancy
image1227,What is present?,female reproductive
image1227,Where does this belong to?,female reproductive system
image1228,What does this image show?,good example typical dermoid with hair and sebaceous material
image1228,What is present?,female reproductive
image1228,What is present?,benign cystic teratoma
image1228,Where does this belong to?,female reproductive system
image1228,What is present ?,female reproductive
image1228,What is present ?,benign cystic teratoma
image1228,How does this image show good example typical dermoid?,with hair and sebaceous material 
image1229,Where does this belong to?,female reproductive system
image1229,What is present?,female reproductive
image1229,How does this image show uterus and ovaries?,with bilateral brenner tumors 
image1229,What does this image show?,uterus and ovaries with bilateral brenner tumors
image1229,What is present ?,female reproductive
image1230,What does this image show?,excellent example of brenner tumor
image1230,What is present ?,female reproductive
image1230,Where does this belong to?,female reproductive system
image1230,What is present?,female reproductive
image1231,Where does this belong to?,female reproductive system
image1231,What is present ?,female reproductive
image1231,How does this image show ovaries and uterus?,with tumor mass 
image1231,What is present?,female reproductive
image1231,What does this image show?,ovaries and uterus with tumor mass
image1232,What does this image show?,close-up single lesion well shown breast primary
image1232,What is present?,female reproductive
image1232,What is present?,metastatic carcinoma
image1232,What shown breast primary ?,close-up single lesion
image1232,What is close-up single lesion shown?,lesion shown breast primary
image1232,Where does this belong to?,female reproductive system
image1232,What is present ?,metastatic carcinoma
image1232,What is present ?,female reproductive
image1233,Where does this belong to?,female reproductive system
image1233,What is close-up of cut surface of this myoma ?,opened uterus and cervix with large cervical protruding into vagina slide
image1233,What is opened uterus and cervix with large cervical myoma protruding into vagina slide surface of this myoma ?,close-up cut
image1233,What is present ?,female reproductive
image1233,What is present ?,cervical leiomyoma
image1233,What is present?,cervical leiomyoma
image1233,What is present?,female reproductive
image1233,What does this image show?,opened uterus and cervix with large cervical myoma protruding into vagina slide is close-up of cut surface of myoma
image1233,What is opened uterus and cervix with large cervical myoma protruding into vagina slide surface of this myoma?,close-up cut
image1233,What is close-up of cut surface of this myoma?,opened uterus and cervix with large cervical protruding into vagina slide
image1234,What is present?,female reproductive
image1234,Where does this part belong to?,female reproductive system
image1234,What is present ?,female reproductive
image1235,What does this image show?,opened uterus and vagina with pedunculated polyp extending from cervix into vagina 72yobf
image1235,What is present ?,female reproductive
image1235,Where does this part belong to?,female reproductive system
image1235,What is present?,female reproductive
image1236,What does this image show?,large senile type endometrial polyp
image1236,What is present?,female reproductive
image1236,Where does this part belong to?,female reproductive system
image1236,What is present ?,female reproductive
image1237,Where does this part belong to?,female reproductive system
image1237,What is present?,endometrial polyp
image1237,What is present ?,female reproductive
image1237,What does this image show?,opened uterus close-up with rather large polyp 66yo diabetic female no tissue diagnosis
image1237,What is present?,female reproductive
image1237,What is present ?,endometrial polyp
image1238,What is present ?,female reproductive
image1238,Where does this belong to?,female reproductive system
image1238,What is present?,female reproductive
image1238,How does this image show maternal surface?,with blood clot 
image1238,What does this image show?,maternal surface with blood clot
image1239,What is close-up of lesion sliced?,lesion sliced open like a book typical for this with yellow foci evident view all pelvic organ in slide
image1239,Where does this belong to?,female reproductive system
image1239,What is present?,female reproductive
image1239,What does this image show?,close-up of lesion sliced open like a book typical for lesion with yellow foci evident view of all pelvic organ in slide
image1239,What is close-up of lesion sliced?,lesion sliced open like a book typical for this with yellow foci evident view all pelvic organ in slide
image1239,What is present ?,female reproductive
image1240,How is fixed tissue opened ovarian cyst?,two or three teeth 
image1240,What is fixed tissue opened?,ovarian cyst with two or three teeth
image1240,What opened ovarian cyst with two or three teeth?,fixed tissue
image1240,What is present?,female reproductive
image1240,What is present?,benign cystic teratoma
image1240,Where does this part belong to?,female reproductive system
image1240,What opened ovarian cyst with two or three teeth ?,fixed tissue
image1240,What is fixed tissue opened?,ovarian cyst with two or three teeth
image1240,What is present ?,female reproductive
image1240,What is present ?,benign cystic teratoma
image1240,What does this image show?,fixed tissue opened ovarian cyst with two or three teeth
image1241,What said to have adenosis adenomyosis hemorrhage probably due to shock?,lesion in dome of uterus
image1241,Why is lesion in dome of uterus said to have adenosis adenomyosis hemorrhage probably?,due shock
image1241,What is present ?,Adenosis and ischemia
image1241,What is present ?,female reproductive
image1241,What is localized lesion in dome of uterus said?,to have adenosis adenomyosis hemorrhage probably due to shock
image1241,What said to have adenosis adenomyosis hemorrhage probably due to shock ?,localized lesion in dome of uterus
image1241,Where does this part belong to?,female reproductive system
image1241,What is present?,Adenosis and ischemia
image1241,What is present?,female reproductive
image1241,What does this image show?,localized lesion in dome of uterus said to have adenosis adenomyosis hemorrhage probably due to shock
image1241,Why does this image show localized lesion in dome of uterus said to have adenosis adenomyosis hemorrhage probably?,due shock
image1241,What is lesion in dome of uterus said?,to have adenosis adenomyosis hemorrhage probably due to shock
image1242,What is this good yellow color slide labeled tumor ?,labeled granulosa cell
image1242,What is present ?,female reproductive
image1242,What indicates theca cells can not recognize as ovary ?,yellow color
image1242,What is labeled granulosa cell tumor ?,this good yellow color slide
image1242,What does yellow color indicate?,theca cells can not recognize as ovary
image1242,Where does this belong to?,female reproductive system
image1242,What is present?,female reproductive
image1242,What indicates theca cells can not recognize as ovary?,yellow color
image1242,What is this good yellow color slide labeled tumor?,labeled granulosa cell
image1242,What is labeled granulosa cell tumor?,this good yellow color slide
image1242,What does yellow color indicate?,theca cells can not recognize as ovary
image1243,What opened like a book typical for this lesion?,all pelvic organs tumor mass
image1243,What is present ?,female reproductive
image1243,What is all pelvic organs tumor mass opened?,like a book typical for this lesion
image1243,What does this image show?,all pelvic organs tumor mass opened like a book typical for lesion
image1243,What is present?,female reproductive
image1243,Where does this belong to?,female reproductive system
image1243,What opened like a book typical for this lesion ?,all pelvic organs tumor mass
image1243,What is all pelvic organs tumor mass opened?,like a book typical for this lesion
image1244,Where does this belong to?,female reproductive system
image1244,What is present?,female reproductive
image1244,What is present ?,female reproductive
image1244,What does this image show?,good close-up of needle tract with necrotic center
image1244,How does this image show good close-up of needle tract?,with necrotic center 
image1245,What is present ?,female reproductive
image1245,What is present ?,intrauterine contraceptive device
image1245,Where does this belong to?,female reproductive system
image1245,What is present?,intrauterine contraceptive device
image1245,What is present?,female reproductive
image1246,What is present?,female reproductive
image1246,What is present?,endometritis postpartum
image1246,Where does this part belong to?,female reproductive system
image1246,What is present ?,female reproductive
image1246,What is present ?,endometritis postpartum
image1246,What does this image show?,opened cervix and endometrium with necrotic tissue five weeks post section because of brain hemorrhage 40 weeks gestation 29 yo hypertensive bf
image1246,Why does this image show opened cervix and endometrium with necrotic tissue five weeks post section?,because of brain hemorrhage 40 gestation 29 yo hypertensive bf
image1247,Where does this part belong to?,female reproductive system
image1248,Where does this part belong to?,female reproductive system
image1249,What has this myoma been sliced can not readily see uterus itself myoma lesion is quite typical close-up photo ?,been open like book
image1249,What is present ?,female reproductive
image1249,What is quite typical close-up photo?,myoma lesion
image1249,What is present?,female reproductive
image1249,Where does this part belong to?,female reproductive system
image1249,What has this myoma been sliced can not readily see uterus itself myoma lesion is quite typical close-up photo?,been open like book
image1249,What is quite typical close-up photo ?,myoma lesion
image1250,What does this image show?,close-up view of 5 weeks post section 29yobf hypertension and brain hemorrhage
image1250,What is present?,female reproductive
image1250,Where does this part belong to?,female reproductive system
image1250,What is present ?,female reproductive
image1251,What is present ?,female reproductive
image1251,Where does this belong to?,female reproductive system
image1251,What is present?,Corpus luteum
image1251,What is present?,female reproductive
image1251,What is present ?,Corpus luteum
image1252,What is present?,female reproductive
image1252,What said to be invasive carcinoma?,inflamed exocervix
image1252,What is present?,cervical carcinoma
image1252,Where does this belong to?,female reproductive system
image1252,What said to be invasive carcinoma ?,excellent close-up of thickened and inflamed exocervix
image1252,What is excellent close-up of thickened and inflamed exocervix said?,exocervix said to be invasive carcinoma
image1252,What is present ?,female reproductive
image1252,What is inflamed exocervix said?,to be invasive carcinoma
image1252,What does this image show?,excellent close-up of thickened
image1252,What is present ?,cervical carcinoma
image1253,What is present ?,cervix duplication
image1253,What does this image show?,fixed tissue frontal section through uterus with single fundus and two endocervical canals and cervical ossa
image1253,What is present ?,female reproductive
image1253,What is present?,cervix duplication
image1253,Where does this part belong to?,female reproductive system
image1253,What is present?,female reproductive
image1254,What is present ?,serous cyst
image1254,What is present ?,female reproductive
image1254,Where does this part belong to?,female reproductive system
image1254,What is present?,female reproductive
image1254,What is present?,serous cyst
image1255,How does this image show fetus cord?,with knot and placenta 
image1255,What is present ?,umbilical cord
image1255,What is present ?,female reproductive
image1255,Where does this part belong to?,female reproductive system
image1255,What is present?,umbilical cord
image1255,What is present?,female reproductive
image1255,What does this image show?,fetus cord with knot and placenta
image1256,What does this image show?,well shown knot
image1256,What is present?,umbilical cord
image1256,Where does this part belong to?,female reproductive system
image1256,What is present?,female reproductive
image1256,What is present ?,female reproductive
image1256,What is present ?,umbilical cord
image1257,What is present ?,Postpartum uterus
image1257,What opened uterus with blood clot in cervical canal and small endometrial cavity?,fixed tissue
image1257,What is fixed tissue opened?,uterus with blood clot in cervical canal and small endometrial cavity
image1257,What opened uterus with blood clot in cervical canal and small endometrial cavity ?,fixed tissue
image1257,Where does this part belong to?,female reproductive system
image1257,What is present?,Postpartum uterus
image1257,What is present?,female reproductive
image1257,What does this image show?,fixed tissue opened uterus with blood clot in cervical canal and small endometrial cavity
image1257,What is present ?,female reproductive
image1257,What is fixed tissue opened?,uterus with blood clot in cervical canal and small endometrial cavity
image1258,What does this image show?,fixed tissue single placenta with very large cord
image1258,What is present?,female reproductive
image1258,What is present?,Siamese twins
image1258,Where does this belong to?,female reproductive system
image1258,What is present ?,female reproductive
image1258,What is present ?,Siamese twins
image1259,What does this image show?,needle biopsy with obvious carcinoma
image1259,How does this image show needle biopsy?,with obvious carcinoma 
image1260,How does this image show pleomorphic cells?,with obvious mucin secretion 
image1260,What does this image show?,pleomorphic cells with obvious mucin secretion
image1261,What does this image show?,normal breast
image1262,What is present ?,metastatic Carcinoma
image1262,What is metastatic choriocarcinoma with pleomorphism and mitotic figures sickled?,red cells in vessels well shown
image1262,What sickled red cells in vessels well shown ?,metastatic choriocarcinoma with pleomorphism and mitotic figures
image1262,What is present?,metastatic Carcinoma
image1262,How does this image show metastatic choriocarcinoma?,with pleomorphism 
image1262,What sickled red cells in vessels well shown?,mitotic figures
image1262,What is mitotic figures sickled?,red cells in vessels well shown
image1262,What does this image show?,metastatic choriocarcinoma with pleomorphism
image1263,What is present ?,intraductal Papillomatosis
image1263,What appears benign ?,this typical lesion
image1263,What is present?,intraductal Papillomatosis
image1263,What appears benign?,this typical lesion
image1264,What is this image of pagets disease ?,a quite good example
image1264,What is this image of pagets disease?,a quite good example
image1265,What does this image show?,normal duct in postmenopausal woman
image1266,What is this image of pagets disease?,a quite excellent example
image1266,What is this image of pagets disease ?,a quite excellent example
image1267,What does this image show?,excellent cribriform pattern all tumor in duct
image1267,What is present?,papillary Intraductal Adenocarcinoma
image1267,What is present ?,papillary Intraductal Adenocarcinoma
image1268,What does this image show?,normal breast
image1269,What does this image show?,normal breast
image1270,What does this image show?,normal breast
image1271,What does this image show?,normal breast
image1272,What does this image show?,case of transposition of great vessels with vsd age 22 yrs
image1272,How does this image show case of transposition of great vessels?,with vsd age 22 yrs 
image1272,What is present?,pulmonary osteoarthropathy
image1272,What is present ?,pulmonary osteoarthropathy
image1273,What does this image show?,outstandingly horrible example in infant with apparent gangrene of distal and middle phalanges pseudomonas sepsis
image1273,How does this image show outstandingly horrible example in infant?,with apparent gangrene of distal and middle phalanges pseudomonas sepsis 
image1274,What does this image show?,very good example of syndactyly
image1275,What is present ?,Supernumerary digit
image1275,What is present?,supernumerary digit
image1275,How does this image show good shot of sixth finger?,with ligature on it 
image1275,What does this image show?,good shot of sixth finger with ligature on it
image1276,What does this image show?,typical small lesion
image1277,What does this image show?,lesions well shown on index finger staphylococcus
image1277,What is present ?,Digital infarcts bacterial endocarditis
image1277,What is lesions shown?,on index finger staphylococcus
image1277,What is present?,Digital infarcts bacterial endocarditis
image1278,What demonstrated with one about twice the size of the other due to malignant lymphoma involving lymphatic drainage ?,both legs
image1278,What is both legs demonstrated?,with one about twice the size of the other due to malignant lymphoma involving lymphatic drainage
image1278,Why is legs demonstrated with one about twice the size of the other?,due to malignant lymphoma involving lymphatic drainage
image1278,What is legs demonstrated?,with one about twice the size of the other due to malignant lymphoma involving lymphatic drainage
image1279,What does this image show?,excellent example of marfans syndrome
image1280,What does this image show?,early lesion with erythematous appearance
image1280,How does this image show early lesion?,with erythematous appearance 
image1281,What deformed fingers ?,both hands
image1282,What does this image show?,gangrene buergers disease
image1283,What does this image show?,buergers disease
image1284,What does this image show?,horrible example of gangrene of feet and skin of legs with pseudomonas sepsis
image1285,What is present ?,simian crease
image1285,What is present?,simian crease
image1286,What is present ?,trophic changes
image1286,What is present?,trophic changes
image1286,What does this image show?,distorted nails and thick skin typical of chronic ischemia
image1287,What does this image show?,typical gangrene
image1288,What is present?,normal palmar creases
image1288,What does this image show?,left hand
image1288,What is present ?,normal palmar creases
image1289,What does this image show?,enlarged joints typical of osteoarthritis
image1290,What does this image show?,typical gangrene
image1291,What does this image show?,infant with club feet
image1291,How does this image show infant?,with club feet 
image1292,What is autopsy left?,club foot
image1292,What is autopsy left?,club foot
image1292,What does this image show?,autopsy left club foot
image1293,What does this image show?,excellent example of pulmonary osteoarthropathy
image1294,What does this image show?,well demarcated gangrenous necrosis medial aspect left foot
image1294,What left foot?,medial aspect
image1295,What does this image show?,hands one with simian crease
image1296,What does this image show?,good example of diabetic lesion va.
image1296,What is present ?,heel ulcer
image1296,What is present?,heel ulcer
image1297,What does this image show?,1 month old child with congenital aortic stenosis
image1297,What is present ?,Gangrene toe in infant
image1297,What is present?,gangrene toe in infant
image1297,How does this image show 1 month old child?,with congenital aortic stenosis 
image1298,What is present?,band constriction in skin above ankle of infant
image1298,What does this image show?,called streeters band whatever that is looks like an amniotic band lesion
image1298,What is present ?,band constriction in skin above ankle of infant
image1299,What is present?,supernumerary digits
image1299,What does this image show?,view of foot from plantar surface 7 toes at least
image1299,What is present ?,Supernumerary digits
image1300,What does long fingers interesting case see?,other slides
image1300,What see other slides ?,long fingers interesting case
image1300,What does this image show?,long fingers interesting case see other slides
image1300,What does interesting case see?,other slides
image1300,What see other slides?,interesting case
image1301,What does this image show?,right hand
image1301,What is present?,normal palmar creases
image1301,What is present ?,normal palmar creases
image1302,What does this image show?,well demarcated black tissue great and second toe and lateral aspect of small toe
image1303,What does this image show?,excellent example of acrocyanosis
image1304,What is present ?,rheumatoid arthritis
image1304,What does this image show?,typical deformity with lateral deviation case 31
image1304,How does this image show typical deformity?,with lateral deviation case 31 
image1304,What is present?,rheumatoid arthritis
image1305,What see other slide this interesting case?,no cystic aortic lesions
