image,question,answer
image2234,What did high-power view of the junction of the fibrous cap and core show?,scattered inflammatory cells
image2234,"What shows scattered inflammatory cells,  calcification arrowheads,  and neovascularization ?",high-power view of the junction of the fibrous cap and core
image2235,What are illustrated?,the cellular alterations in apoptosis are illustrated
image2236,What is the Wilms tumor with tightly packed blue cells consistent with?,the blastemal component and interspersed primitive tubules
image2236,"What is consistented with the blastemal component and interspersed primitive tubules,  representing the epithelial component?",wilms tumor with tightly packed blue cells
image2237,What are the spores present in?,sporangia as well as intermingled in the inflammatory cell infiltrate
image2238,"What shows mesangial cell proliferation,  basement membrane duplication,  leukocyte infiltration,  and accentuation of lobular architecture?",membranoproliferative glomerulonephritis (mpgn)
image2239,What do nonfunctioning adenomas tend to be?,larger at the time of diagnosis than those that secrete hormone
image2239,What tend to be larger at the time of diagnosis than those that secrete a hormone?,nonfunctioning adenomas
image2240,What is the color of the firm areas with base on the pleura?,dark tan
image2240,What shows dark tan firm areas with base on the pleura?,the sectioned surface
image2240,How does the sectioned surface show dark tan firm areas?,with base on the pleura
image2240,What does the sectioned surface show with?,base on the pleura
image2241,What was a gravid uterus removed for?,postpartum bleeding
image2241,What was removed for postpartum bleeding?,a gravid uterus
image2242,"What is characterized by increased numbers of epithelial cells,  as in this example of epithelial hyperplasia?",proliferative breast disease
image2242,What is proliferative breast disease characterized by?,an increased numbers of epithelial cells
image2243,What are the capillary walls diffusely thickened due to?,duplication of the gbm
image2243,What are diffusely thickened due to duplication of the GBM?,capillary walls
image2244,What are associated with specific molecular lesions?,predominance of blastemal morphology and diffuse anaplasia
image2244,"What was present in other areas within this Wilms tumor,  characterized by cells with hyperchromatic,  pleomorphic nuclei,  and an abnormal mitosis (center of field)?",focal anaplasia
image2244,"What was present within this Wilms tumor,  characterized by cells with hyperchromatic,  pleomorphic nuclei,  and an abnormal mitosis center of field?",focal anaplasia
image2244,What are predominance of blastemal morphology and diffuse anaplasia associated with?,specific molecular lesions
image2245,What do peripheral blood film show?,marked neutrophilic leucocytosis accompanied with late precursors of myeloid series
image2245,What is accompanied with late precursors of myeloid series?,peripheral blood film showing marked neutrophilic leucocytosis
image2245,What is higher as demonstrated by this cytochemical stain?,neutrophil (or leucocyte) alkaline phosphatase (nap or lap) activity
image2246,What are seen?,thick-walled dilated cavities with cartilaginous wall
image2246,What are many thick-walled dilated cavities with?,cartilaginous wall
image2247,What are pale?,the nuclei of affected tubules
image2247,What is compressed?,interstitial vasculature
image2247,What are the tubular epithelial cells distended with?,cytoplasmic vacuoles
image2247,What are distended with cytoplasmic vacuoles while the interstitial vasculature is compressed?,tubular epithelial cells is compressed
image2248,What contain amyloid derived from calcitonin molecules secreted by the neoplastic cells?,medullary carcinoma tumors
image2248,What do these tumors contain?,amyloid derived from calcitonin molecules secreted by the neoplastic cells
image2249,What are the cells still recognisable as?,of transitional origin and show features of anaplasia
image2250,What is composed of fibrous plaques?,aorta with mild atherosclerosis
image2250,What is aorta with mild atherosclerosis composed of?,fibrous plaques
image2251,What shows presence of loculi containing gelatinous mucoid material?,the cyst wall
image2251,What does the cyst wall show?,presence of loculi containing gelatinous mucoid material
image2251,What shows a very large multilocular cyst without papillae?,cut surface
image2251,What does cut surface show without papillae?,a very large multilocular cyst
image2252,What shows a circumferential bright pink area of necrosis with protein deposition and inflammation?,the wall of the artery
image2252,What does the wall of the artery show with protein deposition and inflammation?,a circumferential bright pink area of necrosis
image2252,How does the wall of the artery show a circumferential bright pink area of necrosis?,with protein deposition and inflammation
image2253,What does the smear show?,koilocytes having abundant vacuolated cytoplasm and nuclear enlargement  
image2253,What shows koilocytes having abundant vacuolated cytoplasm and nuclear enlargement ?,the smear
image2254,What is glioblastoma?,a densely cellular tumor with necrosis and pseudo-palisading of tumor cell nuclei along the edge of the necrotic zone
image2255,What show typical coagulative necrosis?,renal tubules and glomeruli
image2255,What do renal tubules and glomeruli show?,typical coagulative necrosis
image2255,Where is acute inflammatory infiltrate at?,the periphery of the infarct
image2255,What is there at the periphery of the infarct?,acute inflammatory
image2256,"What remain within the predominantly metaplastic,  reddish mucosa of the distal esophagus?",a few areas of pale squamous mucosa
image2256,What do only a few areas of pale squamous mucosa remain within?,the predominantly metaplastic
image2257,What do the hyperplastic follicles contain?,abundant pink colloid within their lumina
image2257,What contain abundant pink colloid within their lumina?,the hyperplastic follicles
image2258,What do well-defined nodules compress?,the urethra into a slitlike lumen
image2258,What compress the urethra into a slitlike lumen?,well-defined nodules
image2259,What result in defect in anchoring of lipid bilayer of the membrane to the underlying cytoskeleton?,mutations in membrane proteins-alpha-spectrin
image2259,What lose their cell membrane further during passage through the spleen?,these rigid spherical cells
image2259,When do these rigid spherical cells lose their cell membrane further?,during passage through the spleen
image2259,When do d lose their cell membrane further?,during passage through the spleen
image2259,When do these rigid spherical cells lose their cell membrane further?,during passage through the spleen
image2259,What do these rigid spherical cells lose?,their cell membrane further during passage through the spleen
image2259,What does this produce?,a circulating subpopulation of hyperspheroidal spherocytes
image2260,What is caused by gonococcal infection?,acute epididymitis
image2260,What is acute epididymitis caused by?,gonococcal infection
image2260,What is seen on the right?,normal testis
image2260,What is involved by an abscess?,the epididymis
image2260,How is acute epididymitis caused?,by gonococcal infection
image2260,Where is normal testis seen?,on the right
image2261,What is based on size and location of centromere?,classification chromosomes 
image2261,What is classification of chromosomes based on?,size and location centromere
image2262,What does the coarsely nodular gland contain?,areas of fibrosis and cystic change
image2262,What contains areas of fibrosis and cystic change?,the coarsely nodular gland
image2263,What is seen abutting the optic nerve?,poorly cohesive tumor in retina
image2263,What is the  poorly cohesive tumor in the retina seen abutting?,the optic nerve
image2264,What is markedly thickened?,the gastric wall
image2265,What does this image show?,epulis fissuratum
image2266,What does this image show?,pleomorphic adenoma benign mixed tumor
image2267,What does this image show?,chronic sialadenitis
image2268,What does this image show?,compound nevus
image2269,What does this image show?,incisive canal cyst nasopalatien duct cyst
image2270,What does this image show?,pemphigus vulgaris
image2271,What does this image show?,intramucosal nevus
image2272,What does this image show?,leukemic infiltrate
image2273,What does this image show?,capillary hemangioma
image2274,What does this image show?,burkits lymphoma
image2275,What does this image show?,hematopoietic bone marrow defect
image2276,What does this image show?,periapical granuloma
image2277,What does this image show?,developing 3rd molar
image2278,What does this image show?,chronic osteomyelitis
image2279,What does this image show?,skeletal muscle
image2279,"Why does this image show skeletal muscle, atrophy?",due to immobilization cast
image2280,What does this image show?,synovial proliferation
image2281,What does this image show?,tracheotomy site
image2281,What is present?,soft tissue
image2282,What does this image show?,rheumatoid arthritis
image2283,What does this image show?,distal femur lesion
image2284,What does this image show?,tumor well shown gross is slide
image2284,What is slide?,tumor well shown gross
image2285,How does this image show med good carcinoma?,with some bone resorption 
image2285,What does this image show?,med good carcinoma with some bone resorption
image2286,What does this image show?,typical lesion
image2287,What does this image show?,chronic inflammatory cells and langhans type giant cells case 31
image2288,What is present?,soft tissue
image2288,What does this image show?,typical acute lesion very good
image2289,What does this image show?,typical lesion case associated with widespread vasculitis
image2290,What is additional 3194 and?,new bone formation excellent depiction large myofibroblastic osteoblastic cells induced by tumor tumor also seen gross
image2290,What does this image show?,new bone formation excellent depiction large myofibroblastic osteoblastic cells induced by tumor tumor also seen gross is additional 3194 and
image2291,What is present?,soft tissue
image2291,What does this image show?,skeletal muscle atrophy
image2292,What does this image show?,tracheotomy site
image2292,What is present?,soft tissue
image2293,What does this image show?,tracheotomy site
image2293,What is present?,soft tissue
image2294,What does this image show?,skeletal muscle
image2294,"Why does this image show skeletal muscle, atrophy?",due to immobilization cast
image2295,What stain?,this image shows lung
image2296,What does this image show?,Breast cancer metastasis to lung
image2297,"How does this image show lung, sarcoidosis, multinucleated giant cells?",with asteroid bodies 
image2298,"What was talc used, alpha-1 antitrypsin deficiency?",used to sclerose emphysematous lung
image2299,"What was talc used, alpha-1 antitrypsin deficiency?",used to sclerose emphysematous lung
image2300,What does this image show?,external view bilateral cleft palate
image2301,What is present ?,"bone, calvarium"
image2301,What does this image show?,large nodular osteoma in right temporal fossa
image2302,What is present ?,"bone, calvarium"
image2302,What is present ?,basilar skull fracture
image2302,What is present?,basilar skull fracture
image2303,What is present ?,malformed base
image2303,What is present?,malformed base
image2304,What is present ?,"bone, calvarium"
image2304,What is present ?,rheumatoid arthritis
image2304,What is present?,rheumatoid arthritis
image2304,What does this image show?,stenotic foramen magnum in situs excellent example
image2305,What is easily seen ?,body on autopsy table lesion that supposedly predicts premature coronary disease
image2305,What is present ?,ear lobe horizontal crease
image2305,What is present?,ear lobe horizontal crease
image2305,What does this image show?,body on autopsy table lesion that supposedly predicts premature coronary disease is easily seen
image2305,What is easily seen?,premature coronary disease
image2306,What is present ?,"bone, calvarium"
image2306,What is present?,basilar skull fracture
image2306,What does this image show?,close-up of linear fracture very well
image2306,What is present ?,basilar skull fracture
image2307,What is present ?,temporal muscle hemorrhage
image2307,What does this protocol have?,basal skull fracture chronic subdural hematoma malignant lymphoma and acute myelogenous leukemia
image2307,What has basal skull fracture chronic subdural hematoma malignant lymphoma and acute myelogenous leukemia ?,this protocol
image2307,What is present?,temporal muscle hemorrhage
image2307,What does this protocol have?,basal skull fracture chronic subdural hematoma malignant lymphoma and acute myelogenous leukemia
image2307,What has basal skull fracture chronic subdural hematoma malignant lymphoma and acute myelogenous leukemia?,this protocol
image2308,What is present ?,Pierre robin sndrome
image2308,What do lateral view of infants head?,showing mandibular lesion
image2308,What head showing mandibular lesion ?,lateral view of infants
image2308,What does this image show?,lateral view of infants head showing mandibular lesion
image2308,What is present?,Pierre robin sndrome
image2308,What head showing mandibular lesion?,lateral view of infants
image2308,What do lateral view of infants head?,showing mandibular lesion
image2309,What is present ?,choanal atresia
image2309,What is right side atresia left?,was patent hemisection of nose
image2309,What left was patent hemisection of nose ?,right side atresia
image2309,What is present?,choanal atresia
image2309,What does this image show?,right side atresia left was patent hemisection of nose
image2309,What is right side atresia left?,was patent hemisection of nose
image2309,What left was patent hemisection of nose?,right side atresia
image2310,What does this image show?,very good example associated with tuberous sclerosis
image2310,What is present?,adenoma sebaceum
image2310,What associated with tuberous sclerosis ?,very good example
image2310,What is very good example associated?,with tuberous sclerosis
image2310,What is present ?,adenoma sebaceum
image2311,What is present?,purulent sinusitis
image2311,What well shown ?,frontal sinuses inflammation and pus
image2311,What does this image show?,frontal sinuses inflammation and pus well shown
image2311,What is present ?,purulent sinusitis
image2312,What is present ?,basilar skull fracture
image2312,What does this look?,more like a gunshot wound
image2312,What is present?,basilar skull fracture
image2312,What does this look?,more like a gunshot wound
image2312,What is present ?,"bone, calvarium"
image2313,What is present ?,metastatic lung carcinoma
image2313,What is present ?,"bone, calvarium"
image2313,What is present?,metastatic lung carcinoma
image2313,What does this image show?,dr garcia tumors b4
image2314,What does this image show?,close-up view of hemorrhagic excavation quite good
image2314,What is present ?,multiple myeloma
image2314,What is present?,multiple myeloma
image2314,What is present ?,"bone, skull"
image2315,What is present ?,basilar skull fracture
image2315,What is present?,basilar skull fracture
image2316,What is present?,metastatic malignant ependymoma
image2316,What does this image show?,x-ray chest well shown left hilar mass tumor in hilar node
image2317,What does this image show?,well shown meningitis purulent
image2318,What does this image show?,neural tangle
image2319,"Why does this image show brain, infarct?",due to ruptured saccular aneurysm and thrombosis of right middle cerebral artery
image2320,"Why does this image show brain, subarachanoid hemorrhage and hematoma?",due to ruptured aneurysm
image2321,"Why does this image show brain, infarct?",due to ruptured saccular aneurysm and thrombosis of right middle cerebral artery plasmacytic astrocytes
image2322,What does this image show?,touch impression from brain
image2323,What is present?,glial nodule
image2323,What does this image show?,typical nodule cause not known at time
image2324,What does this image show?,spinal cord injury due to vertebral column trauma
image2324,Why does this image show spinal cord injury?,due to vertebral column trauma
image2325,What does this image show?,brain lymphoma
image2326,What is present?,neurofibrillary change
image2327,What does this image show?,herpes simplex virus
image2328,What does this image show?,gram stain gram negative bacteria
image2328,What is present?,meningitis purulent
image2329,What does this image show?,herpes simplex virus
image2330,What does this image show?,neural tube defect
image2331,What does this image show?,neural tube defect
image2332,What does this image show?,hilar lymph nodes
image2332,"How does this image show hilar lymph nodes, nodular sclerosing hodgkins disease and diffuse alveolar damage?",with hemorrhagic pneumonia 
image2333,What does this image show?,lung fibrosis
image2334,What does this image show?,Breast cancer metastasis to lung
image2335,What does this image show?,lung fibrosis
image2336,What does this image show?,normal lung
image2337,"How does this image show lung, bronchitis and oxygen toxicity?",with hyaline membranes 
image2338,What does this image show?,cryptococcal pneumonia
image2339,What does this image show?,well shown ulcerative lesion in right pyriform sinus
image2339,What is present?,squamous cell carcinoma
image2340,What does this image show?,large ulcerative lesion in pyriform sinus natural color
image2340,What is present?,squamous cell carcinoma
image2341,What does this image show?,surgical specimen with molar tooth large ulcerating carcinoma on hard palate excellent example -66
image2341,What is present?,squamous cell carcinoma
image2342,What does this image show?,excellent depiction natural color large ulcerative carcinoma on left cord
image2343,What does this image show?,large fungating lesion very good photo
image2344,What is present?,ulcer due to tube
image2345,What is present ?,hemorrhage in newborn
image2345,What had fixed tissue hemorrhage hematoma in left adrenal of premature 30 week gestation gram infant lesion ruptured causing ?,ruptured 20 ml hemoperitoneum unusual
image2345,What had ruptured causing 20 ml hemoperitoneum unusual lesion ?,fixed tissue hemorrhage hematoma in left adrenal of premature 30 week gestation gram infant
image2345,Where does this belong to?,endocrine system
image2345,What is present?,hemorrhage in newborn
image2345,What does this image show?,fixed tissue hemorrhage hematoma in left adrenal of premature 30 week gestation gram infant lesion had ruptured causing 20 ml hemoperitoneum unusual lesion
image2345,What had ruptured causing 20 ml hemoperitoneum?,adrenal of premature 30 week gestation gram infant lesion
image2346,What does this image show?,fixed tissue nice close-up view of cortical nodules
image2346,Where does this belong to?,endocrine system
image2347,Where does this belong to?,endocrine system
image2348,Where does this belong to?,endocrine system
image2349,Where does this belong to?,endocrine system
image2349,What is present?,metastatic carcinoma
image2349,What does this image show?,sectioned gland bilateral lesions excellent example
image2349,What is present ?,metastatic carcinoma
image2350,Where does this belong to?,endocrine system
image2351,What does this image show?,adrenal phaeochromocytoma
image2351,Where does this belong to?,endocrine system
image2352,Where does this belong to?,endocrine system
image2353,Where does this belong to?,endocrine system
image2354,Where does this belong to?,endocrine system
image2354,What does this image show?,adrenal gland
image2355,Why does this image show cortical and medullary hemorrhage not extensive but clearly evident case of pneumococcal meningitis lesion probably?,due to septic shock
image2355,What does this image show?,cortical and medullary hemorrhage not extensive but clearly evident case of pneumococcal meningitis lesion probably due to septic shock
image2355,Where does this belong to?,endocrine system
image2356,Where does this belong to?,endocrine system
image2357,Where does this belong to?,endocrine system
image2357,What does this image show?,adrenal phaeochromocytoma
image2358,Where does this belong to?,endocrine system
image2359,Where does this belong to?,endocrine system
image2360,What is present ?,carcinoma metastatic lung
image2360,What does this image show?,fixed tissue close-up excellent except for color
image2360,What is present?,carcinoma metastatic lung
image2360,Where does this belong to?,endocrine system
image2361,Where does this belong to?,endocrine system
image2362,Where does this belong to?,endocrine system
image2363,Where does this belong to?,endocrine system
image2363,What does this image show?,adrenal phaeochromocytoma
image2364,Where does this belong to?,endocrine system
image2365,What does this image show?,adrenal phaeochromocytoma
image2365,Where does this belong to?,endocrine system
image2366,What is shown well?,close-up tumor
image2366,What is present ?,metastatic carcinoma oat cell
image2366,What is shown well ?,close-up tumor
image2366,Where does this belong to?,endocrine system
image2366,What is present?,metastatic carcinoma oat cell
image2366,What does this image show?,close-up tumor is shown well
image2366,What is close-up tumor well ?,tumor shown
image2366,What is close-up tumor well?,tumor shown
image2367,Where does this belong to?,endocrine system
image2367,What does this image show?,fixed tissue nice close-up of moderate size cortical nodule or adenoma
image2368,What is present?,hemorrhage associated with placental abruption
image2368,What does this image show?,fixed tissue but good color gland not recognizable as such
image2368,What is present ?,hemorrhage associated with placental abruption
image2368,Where does this belong to?,endocrine system
image2369,What is carcinoma had?,"metastases to lungs, pleura, liver and regional nodes"
image2369,What had colon carcinoma ?,section through thyroid and trachea
image2369,What is 70yof had?,colon carcinoma
image2369,Where does this belong to?,endocrine system
image2369,What is carcinoma had?,metastases to lungs
image2369,What is 70yof had?,colon carcinoma
image2369,What is fibrotic lesion said?,to be undifferentiated carcinoma had metastases to lungs
image2369,What is section through thyroid and trachea had?,colon carcinoma
image2369,How does this image show section through?,thyroid and trachea apparently 
image2369,What does this image show?,section through thyroid and trachea apparently
image2369,"What said to be undifferentiated carcinoma had metastases to lungs, pleura, liver and regional nodes 70yof also had colon carcinoma?",fibrotic lesion
image2370,Where is this from?,female reproductive system
image2370,What is present?,female reproductive
image2370,What does this image show?,normal breast
image2370,What is present ?,female reproductive
image2371,What is present?,female reproductive
image2371,What does this image show?,lymphocytic infiltrate on peritoneal surface
image2371,What is present ?,malignant lymphoma
image2371,What is present ?,female reproductive
image2371,Where is this from?,female reproductive system
image2371,What is present?,malignant lymphoma
image2372,What is present ?,sickle cell disease
image2372,Where is this from?,female reproductive system
image2372,What is present?,sickle cell disease
image2372,What is present?,female reproductive
image2372,What is present ?,female reproductive
image2373,Where is this from?,female reproductive system
image2373,What is present ?,female reproductive
image2373,What is present?,female reproductive
image2374,What is present ?,female reproductive
image2374,Where is this from?,female reproductive system
image2374,What is present?,female reproductive
image2375,What is present ?,female reproductive
image2375,Where is this from?,female reproductive system
image2375,What is present?,female reproductive
image2376,What is present ?,female reproductive
image2376,Where is this from?,female reproductive system
image2376,What is present?,female reproductive
image2377,What does this image show?,shows early placental development
image2377,What is present?,female reproductive
image2377,What is present?,fetus developing very early
image2377,Where is this from?,female reproductive system
image2377,What is present ?,female reproductive
image2377,What is present ?,fetus developing very early
image2378,What does this image show?,excellent photo of pleomorphic spindle cell tumor with storiform pattern
image2378,What is present?,female reproductive
image2378,Where is this from?,female reproductive system
image2378,What is present ?,female reproductive
image2378,How does this image show excellent photo of pleomorphic spindle cell tumor?,with storiform pattern 
image2379,What is present ?,mixed mesodermal tumor
image2379,What is present ?,female reproductive
image2379,Where is this from?,female reproductive system
image2379,What is present?,mixed mesodermal tumor
image2379,What is present?,female reproductive
image2379,What does this image show?,bizarre strap and fusiform cells
image2380,Where is this from?,female reproductive system
image2380,What is present?,female reproductive
image2380,What is present ?,female reproductive
image2381,Where is this from?,female reproductive system
image2381,What is present?,female reproductive
image2381,What is present ?,female reproductive
image2382,What is present ?,female reproductive
image2382,Where is this from?,female reproductive system
image2382,What is present?,female reproductive
image2383,What is present ?,acute peritonitis
image2383,What is present?,acute peritonitis
image2384,What is present ?,Situs Inversus
image2384,What is present?,situs Inversus
image2385,What does case of peritonitis slide illustrate?,pus from the peritoneal cavity
image2385,What is present ?,pus in test tube
image2385,What illustrates pus from the peritoneal cavity ?,case of peritonitis slide
image2385,What is present?,pus in test tube
image2385,What does this image show?,case of peritonitis slide illustrates pus from the peritoneal cavity
image2385,What does case of peritonitis slide illustrate?,pus from the peritoneal cavity
image2385,What illustrates pus from the peritoneal cavity?,case of peritonitis slide
image2386,What is present ?,retroperitoneal liposarcoma
image2386,What cut surface natural color yellow and white typical gross sarcoma ?,nodular tumor
image2386,What is nodular tumor cut?,surface natural color yellow and white typical gross sarcoma
image2386,What is present?,retroperitoneal liposarcoma
image2386,What does this image show?,nodular tumor cut surface natural color yellow and white typical gross sarcoma
image2386,What is nodular tumor cut?,surface natural color yellow and white typical gross sarcoma
image2386,What cut surface natural color yellow and white typical gross sarcoma?,nodular tumor
image2387,What is present?,retroperitoneal leiomyosarcoma
image2387,What does this image show?,opened muscle probably psoas natural color large ovoid typical sarcoma
image2387,What psoas natural color large ovoid typical sarcoma?,opened muscle
image2387,What psoas natural color large ovoid typical sarcoma ?,opened muscle
image2387,What is present ?,retroperitoneal leiomyosarcoma
image2388,What shows cut surface with fish flesh appearance and extensive necrosis very good for illustrating appearance of a sarcoma?,this section showing liver tumor mass in hilar area tumor
image2388,What does this section showing liver with tumor mass in hilar area tumor show?,cut surface fish flesh appearance and extensive necrosis very good for illustrating appearance of a sarcoma
image2388,What shows cut surface with fish flesh appearance and extensive necrosis very good for illustrating appearance of a sarcoma ?,this section showing liver tumor mass in hilar area tumor
image2388,What does this section showing liver with tumor mass in hilar area tumor show?,cut surface fish flesh appearance and extensive necrosis very good for illustrating appearance of a sarcoma
image2389,What is present?,metastatic carcinoma
image2389,What is present ?,metastatic carcinoma
image2390,What is present ?,acute peritonitis
image2390,What does this image show?,in situ of abdomen excellent fibrinopurulent peritonitis
image2390,What is present?,acute peritonitis
image2391,What does this image show?,muscle ruthenium red to illustrate glycocalyx
image2392,What does this image show?,chagas disease
image2393,What is present?,coronary artery
image2393,What is present ?,coronary artery
image2393,What does this image show?,intimal smooth muscle cells with lipid in cytoplasm and precipitated lipid in interstitial space
image2393,How does this image show intimal smooth muscle cells?,with lipid in cytoplasm and precipitated lipid in interstitial space 
image2394,What is present?,chronic ischemia
image2394,What does show lesion containing no lipid ?,myocytolysis not
image2394,What does myocytolysis not show containing no lipid ?,show lesion
image2394,What is present ?,chronic ischemia
image2395,What is present ?,coronary artery
image2395,What is present?,coronary artery
image2395,What does this image show?,foam cell
image2396,What does this image show?,fibroblasts in adventitia of monkey basilar artery
image2396,What is present ?,cranial artery
image2396,What is present?,cranial artery
image2397,What does this image show?,sarcoplasmic reticulum
image2398,What does this image show?,proximal tubule and fenestrated capillary can be used to illustrate capillary epithelial cell relations and functions
image2399,What does this image show?,skeletal muscle
image2400,What does this image show?,skeletal muscle
image2401,What does this image show?,two nipples
image2401,What is present ?,Nipple Duplication
image2401,What is present?,Nipple Duplication
image2402,Where does this belong to?,gastrointestinal system
image2403,What does this image show?,stress ulcers
image2403,Where does this belong to?,gastrointestinal system
image2404,Where does this belong to?,gastrointestinal system
image2404,What does this image show?,small intestine
image2405,Where does this belong to?,gastrointestinal system
image2405,What does this image show?,duodenal ulcer
image2406,Where does this belong to?,gastrointestinal system
image2407,Where does this belong to?,gastrointestinal system
image2408,Where does this belong to?,gastrointestinal system
image2408,What does this image show?,normal esophagus
image2409,What ingested as suicide attempt ?,"stomach, necrotizing esophagitis and gastritis, sulfuric acid"
image2409,"What is stomach , necrotizing esophagitis and gastritis , sulfuric acid ingested?",as suicide attempt
image2409,Where does this belong to?,gastrointestinal system
image2410,Where does this belong to?,gastrointestinal system
image2411,Where does this belong to?,gastrointestinal system
image2412,Where does this belong to?,gastrointestinal system
image2413,What does this image show?,stomach and esophagus
image2413,Where does this belong to?,gastrointestinal system
image2414,Where does this belong to?,gastrointestinal system
image2414,What does this image show?,sigmoid colon
image2415,Where does this belong to?,gastrointestinal system
image2416,Why does this image show esophageal varices?,due to alcoholic cirrhosis
image2416,What does this image show?,esophageal varices due to alcoholic cirrhosis
image2416,Where does this belong to?,gastrointestinal system
image2417,Where does this belong to?,gastrointestinal system
image2418,What is embryo-fetus ?,fetus present
image2418,What is embryo-fetus?,fetus present
image2418,What does this image show?,pharyngeal pouch remnant
image2419,What does this image show?,hepatitis b virus
image2420,What does this image show?,hepatitis b virus
image2421,What does this image show?,hepatitis b virus
image2422,What does this image show?,hepatitis b virus
image2423,What does this image show?,hepatitis b virus
image2424,What does this image show?,lymph node
image2425,What does this image show?,lymph node
image2426,What does this image show?,lymph node
image2427,What does this image show?,lymph node
image2428,What does this image show?,lymph node
image2429,What does this image show?,lymph nodes
image2430,How does this image show typical area of caseous necrosis?,with nearby early granuloma quite good source unknown 
image2430,What does this image show?,typical area of caseous necrosis with nearby early granuloma quite good source unknown
image2430,What is present?,lymph node
image2431,What does this image show?,lymph nodes
image2432,What does this image show?,lymph nodes
image2433,What does this image show?,stomach primary
image2433,What is present?,lymph node
image2433,What is present?,metastatic carcinoma
image2434,What does this image show?,lymph node
image2435,What does this image show?,lymph node
image2436,What is present?,lymph node
image2437,What does this image show?,nice example lymphocyte depleted medullary area
image2437,What is present?,lymph node
image2437,What is present?,Di george syndrome
image2438,What does this image show?,lymph nodes
image2439,What does this image show?,good example necrotizing granuloma with giant cells
image2439,What is present?,lymph node
image2440,What does this image show?,lymph nodes
image2441,What does this image show?,lymph nodes
image2442,What is present?,burkitts lymphoma
image2442,What does this image show?,excellent for starry sky appearance but not the best histology source
image2442,What is present?,lymph node
image2443,What does this image show?,external view with capsule stripped
image2443,How does this image show external view?,with capsule stripped 
image2443,What is present?,multiple cysts
image2444,What does this image show?,obviously greatly swollen and pale kidney
image2444,What is present?,transplant acute rejection
image2445,What does this image show?,prostatic hyperplasia
image2446,What does this image show?,normal kidney
image2447,What is present?,polycystic disease infant
image2447,What does this image show?,kidneys in situ with other organs removed dramatic demonstration of size of kidneys
image2447,What is other organs removed?,dramatic demonstration of size of kidneys
image2447,What removed dramatic demonstration of size of kidneys?,other organs
image2448,What is present?,renal cell carcinoma
image2449,What is present?,ischemia newborn
image2450,What does this image show?,kidney candida abscesses from patient with acute myelogenous leukemia
image2451,What is present?,metastatic carcinoma lung
image2451,What does this image show?,single large lesion quite good
image2452,What does this image show?,staghorn calculi in renal pelvis
image2453,What does this image show?,cut surface
image2454,What does this image show?,hemolytic disease of newborn
image2455,What does this image show?,herpes zoster
image2456,Where is this electron microscopy figure taken?,gastrointestinal system
image2457,What does this image show?,malignant cells mixed mesodermal tumor of uterus
image2457,What is present?,peritoneal fluid
image2457,What is present ?,peritoneal fluid
image2458,What does this image show?,coronary artery atherosclerosis diagram
image2459,What does this image show?,coronary artery atherosclerosis diagram
image2460,Where is this part in the figure?,endocrine system
image2460,What does this image show?,parathyroid adenoma
image2461,Where is this part in the figure?,endocrine system
image2462,"How does this image show adrenal, polyarteritis nodosa?",with infarct 
image2462,Where is this part in the figure?,endocrine system
image2463,Where is this part in the figure?,endocrine system
image2464,What does this image show?,parathyroid adenoma
image2464,Where is this part in the figure?,endocrine system
image2465,Where is this part in the figure?,endocrine system
image2466,Where is this part in the figure?,endocrine system
image2467,What does this image show?,primary in stomach
image2467,Where is this part in the figure?,endocrine system
image2467,What is present?,metastatic carcinoma
image2467,What is present ?,metastatic carcinoma
image2468,What does this image show?,hyalin material in pituitary which is amyloid
image2468,Where is this part in the figure?,endocrine system
image2469,What was section through pituitary stalk showing what remains sella of type i diabetes with pituitectomy for retinal lesions 9 years ?,empty case
image2469,Where is this part in the figure?,endocrine system
image2469,What was empty case of type i diabetes with pituitectomy for retinal lesions 9 years ?,section through pituitary stalk showing what remains sella
image2469,What was sella of type i diabetes with pituitectomy for retinal lesions 9 years?,empty case
image2470,What does this image show?,typical lesion in small artery just outside capsule
image2470,What is present?,atheromatous embolus
image2470,What is present ?,atheromatous embolus
image2470,Where is this part in the figure?,endocrine system
image2471,What does this image show?,hashimoto 's thyroiditis
image2471,Where is this part in the figure?,endocrine system
image2472,What does this image show?,hashimoto 's thyroiditis
image2472,Where is this part in the figure?,endocrine system
image2473,Where is this part in the figure?,endocrine system
image2473,What does this image show?,iron stain
image2474,What has folds?,outside adrenal capsule section
image2474,What does this image show?,healing lesion in medium size artery just outside adrenal capsule section has folds
image2474,What is present?,polyarteritis nodosa
image2474,What has folds ?,healing lesion in medium size artery just outside adrenal capsule section
image2474,What is present ?,polyarteritis nodosa
image2474,Where is this part in the figure?,endocrine system
image2475,What does this image show?,hashimoto 's thyroiditis
image2475,Where is this part in the figure?,endocrine system
image2476,What does this image show?,pigment in area of zona glomerulosa
image2476,Where is this part in the figure?,endocrine system
image2477,What is present ?,mucoepidermoid carcinoma
image2477,What is present?,mucoepidermoid carcinoma
image2477,Where is this part in the figure?,endocrine system
image2477,What does this image show?,nice photo of parotid on one side with tumor capsule and obvious invasive tumor
image2478,What is present ?,normal immature infant
image2478,Where is this part in the figure?,endocrine system
image2478,What is present?,normal immature infant
image2479,What does this image show?,hashimoto 's thyroiditis
image2479,Where is this part in the figure?,endocrine system
image2480,What does this image show?,thyroid gland
image2480,Where is this part in the figure?,endocrine system
